Pedal 1 Pressure,Pedal 2 Pressure,Pedal 3 Pressure,Pedal 4 Pressure,Pedal 6 Pressure,Pedal 7 Pressure,Pedal 1 Pressed,Pedal 2 Pressed,Pedal 3 Pressed,Pedal 4 Pressed,Pedal 5 Pressesd,Pedal 6 Pressed,Pedal 7 Pressed,Computer Time
-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,1720199364203926800
-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,1720199364204925500
-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,1720199364204925500
-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,1720199364204925500
-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,1720199364204925500
-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,1720199364205926400
-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,1720199364205926400
-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,1720199364205926400
-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,1720199364205926400
-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,1720199364206922400
-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,1720199364206922400
-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,1720199364206922400
-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,1720199364207924600
-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,1720199364207924600
-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,1720199364207924600
-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,1720199364207924600
-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,1720199364208925100
-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,1720199364208925100
-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,1720199364208925100
-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,1720199364208925100
-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,1720199364209925800
-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,1720199364209925800
-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,1720199364209925800
-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,1720199364209925800
-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,1720199364209925800
-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,1720199364209925800
-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,1720199364210923700
-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,1720199364210923700
-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,1720199364210923700
-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,1720199364210923700
-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,1720199364210923700
-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,1720199364211924000
-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,1720199364211924000
-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,1720199364211924000
-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,1720199364211924000
-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,1720199364211924000
-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,1720199364211924000
-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,1720199364212924700
-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,1720199364212924700
-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,1720199364212924700
-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,1720199364212924700
-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,1720199364212924700
-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,1720199364213924700
-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,1720199364213924700
-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,1720199364213924700
-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,1720199364213924700
-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,1720199364213924700
-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,1720199364213924700
-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,1720199364214934500
-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,1720199364214934500
-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,1720199364214934500
-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,1720199364214934500
-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,1720199364317062800
-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,1720199364425108100
-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,1720199364536640300
-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,1720199364646164200
-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,1720199364755704200
-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,1720199364864256500
-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,1720199364973806200
-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,1720199365085344100
-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,1720199365111873900
-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,1720199365132867400
-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,1720199365152866500
-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,1720199365173869100
-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,1720199365193906900
-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,1720199365214501900
-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,1720199365235511800
-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,1720199365255531400
-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,1720199365276534400
-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,1720199365300569600
