Threshold,Pedal,Error %,Precision,Recall,False Positives,False Negatives,True Positives,True Negatives,Total Samples,FP %,FN %
0,Upper Left,0.04089130155498357,0.6242361007601729,0.6579732914375491,2521,2177,4188,11480110,11488996,0.021942735466179985,0.018948566088803583
0,Upper Right,2.332031449919558,0.08562607569332316,0.701628380343123,257666,10261,24129,11196940,11488996,2.2427199034624086,0.08931154645714909
0,Lower Left,0.048951187727804935,0.0893909626719057,0.046052631578947366,1854,3770,182,11483190,11488996,0.01613718030713911,0.03281400742066583
0,Lower Right,1.6165033045533308,0.20001954607123967,0.4276530888173259,139155,46565,34793,11268483,11488996,1.2112024410139928,0.405300863539338
0,Total,1.0095943109389194,0.13626186252389727,0.502058461904573,401196,62773,63292,45428723,45955984,0.8730005650624302,0.13659374587648912
250,Upper Left,0.035776262201965545,0.6230982019363762,0.8965174129353234,545,104,901,1812502,1814052,0.030043240215826227,0.0057330219861393165
250,Upper Right,0.11664494733337302,0.8170685036356679,0.7863720073664825,956,1160,4270,1807666,1814052,0.05269970210335757,0.06394524523001546
250,Lower Left,0.052865077737573124,0.10772833723653395,0.07371794871794872,381,578,46,1813047,1814052,0.021002705545375765,0.031862372192197355
250,Lower Right,1.0192100336704792,0.36482537249077757,0.5927915304374902,13258,5231,7615,1787948,1814052,0.7308500528099525,0.28835998086052655
250,Total,0.3061240802358477,0.45874445874445874,0.6446621451896508,15140,7073,12832,7221163,7256208,0.20864892516862804,0.09747515506721968
500,Upper Left,0.034453257128241085,0.634180790960452,0.8935323383084577,518,107,898,1812529,1814052,0.02855485950788621,0.005898397620354875
500,Upper Right,0.11708594902461451,0.8181293302540416,0.7828729281767955,945,1179,4251,1807677,1814052,0.052093324777900525,0.064992624246714
500,Lower Left,0.05264457689195238,0.09535452322738386,0.0625,370,585,39,1813058,1814052,0.020396328219918724,0.03224824867203366
500,Lower Right,0.8692143334369687,0.41719564724552255,0.5730188385489646,10283,5485,7361,1790923,1814052,0.566852548879525,0.3023617845574438
500,Total,0.2683495291204442,0.5087776201094668,0.6304446119065561,12116,7356,12549,7224187,7256208,0.1669742653463076,0.10137526377413657
750,Upper Left,0.03368150416856849,0.6409155937052933,0.891542288557214,502,109,896,1812545,1814052,0.027672856125403242,0.006008648043165246
750,Upper Right,0.11692057339039895,0.8194632168372272,0.7815837937384899,935,1186,4244,1807687,1814052,0.051542072663848665,0.0653785007265503
750,Lower Left,0.05192794914368497,0.09644670050761421,0.060897435897435896,356,586,38,1813072,1814052,0.01962457526024612,0.032303373883438846
750,Lower Right,0.7872982692888627,0.4547174571140262,0.5612642067569672,8646,5636,7210,1792560,1814052,0.47661257780923594,0.3106856914796268
750,Total,0.2474570739978788,0.542690673325448,0.62235619191158,10439,7517,12388,7225864,7256208,0.1438630204646835,0.1035940535331953
1000,Upper Left,0.03687876643006926,0.6142857142857143,0.8985074626865671,189,34,301,604160,604684,0.031255994866740314,0.0056227715633289455
1000,Upper Right,0.11609369521932117,0.8180252583237658,0.787292817679558,317,385,1425,602557,604684,0.05242407604633164,0.06366961917298952
1000,Lower Left,0.05391245675427165,0.10666666666666667,0.07692307692307693,134,192,16,604342,604684,0.022160334984884667,0.031752121769386986
1000,Lower Right,0.9884501657063856,0.3798383666524883,0.6256422232601588,4374,1603,2679,596028,604684,0.7233530240588473,0.2650971416475382
1000,Total,0.2988337710275119,0.4685744568097509,0.6663149962321024,5014,2214,4421,2407087,2418736,0.207298357489201,0.09153541353831092
1250,Upper Left,0.035721136990560357,0.6231884057971014,0.8985074626865671,182,34,301,604167,604684,0.030098365427231412,0.0056227715633289455
1250,Upper Right,0.11609369521932117,0.8183908045977012,0.7867403314917127,316,386,1424,602558,604684,0.05225870041211608,0.06383499480720509
1250,Lower Left,0.0517625735094694,0.11678832116788321,0.07692307692307693,121,192,16,604355,604684,0.020010451740082424,0.031752121769386986
1250,Lower Right,0.851519140575904,0.427617298380364,0.5980850070060719,3428,1721,2561,596974,604684,0.5669076740909301,0.284611466484974
1250,Total,0.26377413657381377,0.5152712899748473,0.6483798040693293,4047,2333,4302,2408054,2418736,0.16731879791759002,0.09645533865622374
1500,Upper Left,0.0343981319168359,0.6348195329087049,0.8925373134328358,172,36,299,604177,604684,0.028444609085075838,0.005953522831760059
