Pedal 1 Pressure,Pedal 2 Pressure,Pedal 3 Pressure,Pedal 4 Pressure,Pedal 6 Pressure,Pedal 7 Pressure,Pedal 1 Pressed,Pedal 2 Pressed,Pedal 3 Pressed,Pedal 4 Pressed,Pedal 5 Pressesd,Pedal 6 Pressed,Pedal 7 Pressed,Computer Time,PDS Time
-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,1721315216027345500
-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,1721315216136656700
-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,1721315216246347800
-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,1721315216355529500
-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,1721315216466902700
-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,1721315216577661100
-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,1721315216688192500
-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,1721315216796806900
-1,29.05,-1,5040.34,-1,65.77,14.0,0,0,0,1,0,0,0,1721315216867610000
-1,29.7,-1,5432.37,-1,65.46,13.0,0,0,0,1,0,0,0,1721315216916407100
-1,29.91,-1,4684.79,-1,66.39,13.0,0,0,0,1,0,0,0,1721315216969540200
-1,29.91,-1,1884.62,-1,76.08,13.0,0,0,0,0,0,0,0,1721315217019204000
-1,29.91,-1,444.95,-1,84.1,13.0,0,0,0,0,0,0,0,1721315217067653200
-1,29.91,-1,65.77,-1,90.4,13.0,0,0,0,0,0,0,0,1721315217117200800
-1,29.7,-1,42.37,-1,89.26,14.0,0,0,0,0,0,0,0,1721315217165782200
-1,29.91,-1,29.91,-1,88.14,14.0,0,0,0,0,0,0,0,1721315217215443400
-1,29.91,-1,29.05,-1,81.6,14.0,0,0,0,0,0,0,0,1721315217265120100
-1,29.91,-1,26.31,-1,64.85,14.0,0,0,0,0,0,0,0,1721315217314158500
-1,29.91,-1,22.45,-1,42.37,13.0,0,0,0,0,0,0,0,1721315217362809000
-1,29.7,-1,23.65,-1,39.22,13.0,0,0,0,0,0,0,0,1721315217413072200
-1,29.7,-1,27.15,-1,36.17,13.0,0,0,0,0,0,0,0,1721315217461177200
-1,29.91,-1,28.63,-1,38.75,14.0,0,0,0,0,0,0,0,1721315217509895300
-1,29.91,-1,23.65,-1,44.61,13.0,0,0,0,0,0,0,0,1721315217559567200
-1,29.91,-1,23.45,-1,42.87,13.0,0,0,0,0,0,0,0,1721315217608153700
-1,29.91,-1,23.05,-1,48.46,14.0,0,0,0,0,0,0,0,1721315217657519200
-1,29.91,-1,23.25,-1,66.39,14.0,0,0,0,0,0,0,0,1721315217702518100
-1,29.91,-1,23.65,-1,69.85,14.0,0,0,0,0,0,0,0,1721315217752163600
-1,29.7,-1,24.66,-1,82.31,14.0,0,0,0,0,0,0,0,1721315217801337300
-1,29.7,-1,19.12,-1,86.29,13.0,0,0,0,0,0,0,0,1721315217850494400
