PDS Time,OBS Stamps,Pedal 1 Pressure,Pedal 2 Pressure,Pedal 3 Pressure,Pedal 4 Pressure,Pedal 5 Pressure,Pedal 6 Pressure,Pedal 7 Pressure,Pedal 1 Pressed,Pedal 2 Pressed,Pedal 3 Pressed,Pedal 4 Pressed,Pedal 5 Pressesd,Pedal 6 Pressed,Pedal 7 Pressed
1.721315217461177e+18,1721315217500000000,-1.0,29.7,-1.0,27.15,-1.0,36.17,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.7213152175098954e+18,1721315217533333333,-1.0,29.91,-1.0,28.63,-1.0,38.75,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.721315217559567e+18,1721315217566666666,-1.0,29.91,-1.0,23.65,-1.0,44.61,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.721315217559567e+18,1721315217600000000,-1.0,29.91,-1.0,23.65,-1.0,44.61,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.7213152176081536e+18,1721315217633333333,-1.0,29.91,-1.0,23.45,-1.0,42.87,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.721315217657519e+18,1721315217666666666,-1.0,29.91,-1.0,23.05,-1.0,48.46,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.721315217657519e+18,1721315217700000000,-1.0,29.91,-1.0,23.05,-1.0,48.46,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.721315217702518e+18,1721315217733333333,-1.0,29.91,-1.0,23.25,-1.0,66.39,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.7213152177521636e+18,1721315217766666666,-1.0,29.91,-1.0,23.65,-1.0,69.85,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.7213152177521636e+18,1721315217800000000,-1.0,29.91,-1.0,23.65,-1.0,69.85,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.7213152178013373e+18,1721315217833333333,-1.0,29.7,-1.0,24.66,-1.0,82.31,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.7213152178504945e+18,1721315217866666666,-1.0,29.7,-1.0,19.12,-1.0,86.29,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.7213152178990085e+18,1721315217900000000,-1.0,29.91,-1.0,13.56,-1.0,84.83,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.7213152178990085e+18,1721315217933333333,-1.0,29.91,-1.0,13.56,-1.0,84.83,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.7213152179481746e+18,1721315217966666666,-1.0,29.91,-1.0,12.84,-1.0,84.1,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
