OBS Stamps,PDS Time,Pedal 1 Pressure,Pedal 2 Pressure,Pedal 3 Pressure,Pedal 4 Pressure,Pedal 5 Pressure,Pedal 6 Pressure,Pedal 7 Pressure,Pedal 1 Pressed,Pedal 2 Pressed,Pedal 3 Pressed,Pedal 4 Pressed,Pedal 5 Pressed,Pedal 6 Pressed,Pedal 7 Pressed
1721412378500000000,1.7214123784959135e+18,-1.0,25.69,-1.0,-1.0,-1.0,-1.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1721412378533333333,1.7214123785199588e+18,-1.0,25.69,-1.0,-1.0,-1.0,-1.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1721412378566666666,1.721412378564835e+18,-1.0,25.69,-1.0,-1.0,-1.0,-1.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1721412378600000000,1.7214123785898486e+18,-1.0,25.48,-1.0,-1.0,-1.0,-1.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1721412378633333333,1.7214123786140616e+18,-1.0,25.48,-1.0,-1.0,-1.0,-1.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1721412378666666666,1.7214123786636746e+18,-1.0,25.48,-1.0,-1.0,-1.0,-1.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1721412378700000000,1.7214123786876948e+18,-1.0,25.48,-1.0,-1.0,-1.0,-1.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1721412378733333333,1.7214123787087987e+18,-1.0,25.69,-1.0,-1.0,-1.0,-1.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1721412378766666666,1.72141237875777e+18,-1.0,25.48,-1.0,-1.0,-1.0,-1.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1721412378800000000,1.7214123787827223e+18,-1.0,25.69,-1.0,-1.0,-1.0,-1.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1721412378833333333,1.7214123788317632e+18,-1.0,25.69,-1.0,-1.0,-1.0,-1.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1721412378866666666,1.7214123788517642e+18,-1.0,24.66,-1.0,-1.0,-1.0,-1.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1721412378900000000,1.7214123788767642e+18,-1.0,24.66,-1.0,-1.0,-1.0,-1.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1721412378933333333,1.7214123789260022e+18,-1.0,24.05,-1.0,-1.0,-1.0,-1.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1721412378966666666,1.72141237895e+18,-1.0,24.05,-1.0,-1.0,-1.0,-1.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1721412379000000000,1.7214123789950003e+18,-1.0,24.05,-1.0,-1.0,-1.0,-1.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
