OBS Stamps,Watch Time,wrist_position,value_X_Axis,value_Y_Axis,value_Z_Axis,seq,seq_num
1721412378500000000,0.0,0,0.0,0.0,0.0,0,0.0
1721412378533333333,0.0,0,0.0,0.0,0.0,0,0.0
1721412378566666666,0.0,0,0.0,0.0,0.0,0,0.0
1721412378600000000,0.0,0,0.0,0.0,0.0,0,0.0
1721412378633333333,0.0,0,0.0,0.0,0.0,0,0.0
1721412378666666666,0.0,0,0.0,0.0,0.0,0,0.0
1721412378700000000,0.0,0,0.0,0.0,0.0,0,0.0
1721412378733333333,0.0,0,0.0,0.0,0.0,0,0.0
1721412378766666666,0.0,0,0.0,0.0,0.0,0,0.0
1721412378800000000,0.0,0,0.0,0.0,0.0,0,0.0
1721412378833333333,0.0,0,0.0,0.0,0.0,0,0.0
1721412378866666666,0.0,0,0.0,0.0,0.0,0,0.0
1721412378900000000,0.0,0,0.0,0.0,0.0,0,0.0
1721412378933333333,0.0,0,0.0,0.0,0.0,0,0.0
1721412378966666666,0.0,0,0.0,0.0,0.0,0,0.0
1721412379000000000,0.0,0,0.0,0.0,0.0,0,0.0
1721412379033333333,0.0,0,0.0,0.0,0.0,0,0.0
1721412379066666666,0.0,0,0.0,0.0,0.0,0,0.0
1721412379100000000,0.0,0,0.0,0.0,0.0,0,0.0
1721412379133333333,0.0,0,0.0,0.0,0.0,0,0.0
1721412379166666666,0.0,0,0.0,0.0,0.0,0,0.0
1721412379200000000,0.0,0,0.0,0.0,0.0,0,0.0
1721412379233333333,0.0,0,0.0,0.0,0.0,0,0.0
1721412379266666666,0.0,0,0.0,0.0,0.0,0,0.0
1721412379300000000,0.0,0,0.0,0.0,0.0,0,0.0
1721412379333333333,0.0,0,0.0,0.0,0.0,0,0.0
1721412379366666666,0.0,0,0.0,0.0,0.0,0,0.0
1721412379400000000,0.0,0,0.0,0.0,0.0,0,0.0
1721412379433333333,0.0,0,0.0,0.0,0.0,0,0.0
1721412379466666666,0.0,0,0.0,0.0,0.0,0,0.0
1721412379500000000,0.0,0,0.0,0.0,0.0,0,0.0
1721412379533333333,0.0,0,0.0,0.0,0.0,0,0.0
1721412379566666666,0.0,0,0.0,0.0,0.0,0,0.0
1721412379600000000,0.0,0,0.0,0.0,0.0,0,0.0
1721412379633333333,0.0,0,0.0,0.0,0.0,0,0.0
1721412379666666666,0.0,0,0.0,0.0,0.0,0,0.0
1721412379700000000,0.0,0,0.0,0.0,0.0,0,0.0
1721412379733333333,0.0,0,0.0,0.0,0.0,0,0.0
1721412379766666666,0.0,0,0.0,0.0,0.0,0,0.0
1721412379800000000,0.0,0,0.0,0.0,0.0,0,0.0
1721412379833333333,0.0,0,0.0,0.0,0.0,0,0.0
1721412379866666666,0.0,0,0.0,0.0,0.0,0,0.0
1721412379900000000,0.0,0,0.0,0.0,0.0,0,0.0
1721412379933333333,0.0,0,0.0,0.0,0.0,0,0.0
